Henrietta Street; Synge street; 3.0; Tournez à gauche sur Jervis Lane Upper; foot; Least Noisy
Henrietta Street; Synge street; 2.36; Tournez à droite sur Capel Street; foot; Fastest
Henrietta Street; Synge street; 2.36; Continuez sur Grattan Bridge; foot; Shortest
Henrietta Street; Synge street; 3.0; Continuez sur Grattan Bridge; foot; Least Air Pollution
Henrietta Street; Synge street; 3.4; Tournez à droite sur Peter's Row; bike; Least Noisy
Henrietta Street; Synge street; 2.35; Continuez sur Bride Street; bike; Fastest
Henrietta Street; Synge street; 2.35; Continuez sur Henrietta Street; bike; Shortest
Henrietta Street; Synge street; 3.16; Tournez à gauche sur Castle Street; bike; Least Air Pollution
Henrietta Street; Synge street; 2.67; Tournez à gauche sur Henrietta Place; car; Least Noisy
Henrietta Street; Synge street; 2.73; Tournez à droite sur New Bride Street; car; Fastest
Henrietta Street; Synge street; 2.48; Tournez à gauche sur Werburgh Street; car; Shortest
Henrietta Street; Synge street; 2.7; Continuez sur Mary's Abbey; car; Least Air Pollution
Henrietta Street; Rathmines; 3.97; Tournez fort à gauche sur Capel Street; foot; Least Noisy
Henrietta Street; Rathmines; 3.15; Continuez sur Camden Street Lower, R114; foot; Fastest
Henrietta Street; Rathmines; 3.15; Continuez sur Camden Street Upper, R114; foot; Shortest
Henrietta Street; Rathmines; 3.96; Tournez fort à gauche sur Capel Street; foot; Least Air Pollution
Henrietta Street; Rathmines; 4.4; Tournez à droite sur Dominick Street Lower; bike; Least Noisy
Henrietta Street; Rathmines; 3.34; Continuez sur Grattan Bridge; bike; Fastest
Henrietta Street; Rathmines; 3.33; Continuez sur Portobello Place; bike; Shortest
Henrietta Street; Rathmines; 4.15; Tournez à droite, Descendez du vélo; bike; Least Air Pollution
Henrietta Street; Rathmines; 3.69; Tournez à gauche sur Chancery Street; car; Least Noisy
Henrietta Street; Rathmines; 3.72; Fini!; car; Fastest
Henrietta Street; Rathmines; 3.48; Tournez fort à droite sur Bolton Street, R804; car; Shortest
Henrietta Street; Rathmines; 3.69; Tournez à droite sur Synge Street; car; Least Air Pollution
Henrietta Street; Santry; 7.78; Tournez légèrement à gauche; foot; Least Noisy
Henrietta Street; Santry; 5.36; Continuez sur Henrietta Street; foot; Fastest
Henrietta Street; Santry; 5.36; Continuez sur Dorset Street Lower, R132; foot; Shortest
Henrietta Street; Santry; 5.97; Tournez à gauche sur Swords Road; foot; Least Air Pollution
Henrietta Street; Santry; 8.02; Tournez fort à droite sur Parnell Square North; bike; Least Noisy
Henrietta Street; Santry; 5.76; Tournez à droite, piste cyclable; bike; Fastest
Henrietta Street; Santry; 5.36; Fini!; bike; Shortest
Henrietta Street; Santry; 5.63; Continuez sur Dorset Street Lower, R132; bike; Least Air Pollution
Henrietta Street; Santry; 7.61; Fini!; car; Least Noisy
Henrietta Street; Santry; 5.36; Continuez sur Dorset Street Upper, R804; car; Fastest
Henrietta Street; Santry; 5.36; Continuez sur Dorset Street Upper, R804; car; Shortest
Henrietta Street; Santry; 5.67; Continuez sur Binns Bridge, R132; car; Least Air Pollution
Synge street; Henrietta Street; 3.0; Continuez sur Grattan Bridge; foot; Least Noisy
Synge street; Henrietta Street; 2.36; Tournez à droite sur Heytesbury Street; foot; Fastest
Synge street; Henrietta Street; 2.36; Tournez à droite sur Castle Street; foot; Shortest
Synge street; Henrietta Street; 3.0; Continuez sur Capel Street; foot; Least Air Pollution
Synge street; Henrietta Street; 3.24; Tournez légèrement à droite sur George's Street Great South, R114; bike; Least Noisy
Synge street; Henrietta Street; 2.49; Continuez sur O'Donovan Rossa Bridge, piste cyclable; bike; Fastest
Synge street; Henrietta Street; 2.49; Tournez légèrement à gauche sur Bride Road, piste cyclable; bike; Shortest
Synge street; Henrietta Street; 3.24; Tournez à gauche sur Aungier Street, R114; bike; Least Air Pollution
Synge street; Henrietta Street; 3.24; Tournez à gauche sur Wellington Quay, R148; car; Least Noisy
Synge street; Henrietta Street; 2.73; Tournez à droite sur North King Street, R804; car; Fastest
Synge street; Henrietta Street; 2.49; Fini!; car; Shortest
Synge street; Henrietta Street; 3.24; Continuez sur Chancery Place; car; Least Air Pollution
